ID,SoBD,Math,Viet,English,Physics,Chemistry,Biology,History,Geography,KhoiA,KhoiB,KhoiC,KhoiD,KhoiA1
1,5002915,1.4,2,3.4,,,,2.25,5.25,,,9.5,6.8,
2,5000921,5.6,4.75,2.4,6.5,3.75,3.5,2.75,6.75,15.85,12.85,14.25,12.75,14.5
3,5000863,3.8,3.5,4,2.75,2.75,2.75,2.5,3.75,9.3,9.3,9.75,11.3,10.55
4,5000867,2.4,2.75,3,2,3.5,3.25,4.25,5,7.9,9.15,12,8.15,7.4
5,5000909,9.4,3.25,9.6,9,3.25,3,,,21.65,15.65,,22.25,28
6,5001884,2.8,5,1.4,3,3.75,3.5,2.75,5.25,9.55,10.05,13,9.2,7.2
7,5001889,3.6,6.5,2.6,2.5,4,4.75,,,10.1,12.35,,12.7,8.7
8,5001896,4.4,4.5,4.4,,,,2.5,4.25,,,11.25,13.3,
9,5001897,3.4,6,3.6,3.5,2.25,3.25,3,5,9.15,8.9,14,13,10.5
10,5001898,2.6,4,2.2,,,,3.25,3.75,,,11,8.8,
11,5001917,1.8,6,1.8,,,,2.25,3,,,11.25,9.6,
12,5001920,6.8,6,2.6,4.5,6.25,5,,,17.55,18.05,,15.4,13.9
13,5001923,2.8,3,1.8,,,,2.75,4,,,9.75,7.6,
14,5001929,6,6.25,3.4,6.25,6.75,3.25,,,19,16,,15.65,15.65
15,5001935,3,4.25,2.2,,,,3,4,,,11.25,9.45,
16,5001940,4.8,5,3.6,6.25,4.75,3.75,,,15.8,13.3,,13.4,14.65
17,5001948,5.2,6.75,3.2,,,,5.75,5.25,,,17.75,15.15,
18,5003558,5.8,6,3,,,,6.5,7.5,,,20,14.8,
19,5003560,6.4,4.75,3,,,,4.25,7.75,,,16.75,14.15,
20,5003567,2.6,4,2,,,,3.5,4,,,11.5,8.6,
21,5003570,5.2,5.25,2.8,,,,5,5.5,,,15.75,13.25,
22,5003572,2.6,3,3.8,,,,3.25,4.75,,,11,9.4,
23,5003575,2.4,1.75,3,2.5,2.5,5.5,1.75,4.5,7.4,10.4,8,7.15,7.9
24,5003577,2.8,3.5,3.2,,,,2.75,3.75,,,10,9.5,
25,5003563,3.4,3.5,2.2,,,,3,4,,,10.5,9.1,
26,5003547,2.4,3.25,3,,,,3,2,,,8.25,8.65,
27,5003579,2.2,2.75,3,3.75,3.25,4,3.75,4.25,9.2,9.45,10.75,7.95,8.95
28,5003581,4.4,6,3.8,1.75,2.5,3.5,6.25,6,8.65,10.4,18.25,14.2,9.95
29,5003584,6.4,6.5,4,,,,3.5,6.25,,,16.25,16.9,
30,5003602,1.6,2.25,3,,,,3,4,,,9.25,6.85,
31,5003586,3.8,5.75,2.2,,,,3,5,,,13.75,11.75,
32,5003588,2,4.25,2.6,,,,3.25,3.75,,,11.25,8.85,
33,5003591,3.4,7.5,2.4,,,,2.75,5.25,,,15.5,13.3,
34,5002997,4.6,5.25,1.4,,,,3.25,5.5,,,14,11.25,
35,5003004,6.4,2.5,3.8,,,,3.5,2.5,,,8.5,12.7,
36,5003011,2.8,5,2,,,,3.25,4,,,12.25,9.8,
37,5003023,2.2,6,3,,,,3.5,5,,,14.5,11.2,
38,5004921,3,7.25,2.6,,,,3.5,7,,,17.75,12.85,
39,5004924,3.2,5.5,3.4,,,,4.25,5.25,,,15,12.1,
40,5004926,3,5.25,3.2,,,,4,4.5,,,13.75,11.45,
41,5004931,2.8,5.5,3.6,,,,3.25,4.75,,,13.5,11.9,
42,5004950,3,6.75,1.6,,,,3.75,6.5,,,17,11.35,
43,5004762,2.2,3.5,2.4,,,,4.5,6.25,,,14.25,8.1,
44,5004767,2.6,3.5,2.2,,,,2.25,2,,,7.75,8.3,
45,5004772,4.2,6.5,3,,,,5.25,7.5,,,19.25,13.7,
46,5004773,4.2,5.75,1.8,,,,6.25,5.5,,,17.5,11.75,
47,5004778,2.6,6.75,3,,,,4.5,4.75,,,16,12.35,
48,5004785,4.6,6,2.8,,,,4.5,6.75,,,17.25,13.4,
49,5004793,4,5,4.6,,,,4.75,7,,,16.75,13.6,
50,5004799,2.6,2.75,2,,,,3,4.5,,,10.25,7.35,
51,5001905,2.4,2.75,3,,,,2,1.75,,,6.5,8.15,
52,5001875,2.8,3,2.2,,,,2.25,4.5,,,9.75,8,
53,5001877,2.2,5,2.6,,,,3.75,4.5,,,13.25,9.8,
54,5001880,4,4.25,3.2,4.5,4.25,6,6,6.25,12.75,14.25,16.5,11.45,11.7
55,5001883,3,2.75,2.4,,,,2,3.5,,,8.25,8.15,
56,5001888,2.6,3.25,3.4,2.75,2.5,3.5,3.5,3.5,7.85,8.6,10.25,9.25,8.75
57,5001893,3,4,2.6,,,,4.25,6.25,,,14.5,9.6,
58,5003434,1.4,2.25,2.4,2.5,2,2,4.25,5.5,5.9,5.4,12,6.05,6.3
59,5003447,2.2,3.5,3.6,2.5,3.75,2.75,2.5,4.75,8.45,8.7,10.75,9.3,8.3
60,5003454,3.4,4,3.6,,,,4,3,,,11,11,
61,5003471,1.6,3,2.6,,,,3.25,5,,,11.25,7.2,
62,5003475,4.6,3.75,1.8,,,,4,5.5,,,13.25,10.15,
63,5003476,2.4,2,3.2,3.25,2,3.5,2.5,5,7.65,7.9,9.5,7.6,8.85
64,5003477,4.2,5.75,2.8,,,,2,5.5,,,13.25,12.75,
65,5003478,3.6,3.5,2.2,,,,4,4.75,,,12.25,9.3,
66,5003705,3.2,3.5,3,3,4.5,5,4.75,6.5,10.7,12.7,14.75,9.7,9.2
